case,workload,repetition,hnsw_seed,tail_seed,operation,index,ack,latency_us,lsn,visible_lsn,durable_lsn,durable_records,weak_records,cap,risk,snapshot_lsn,exact_recall,tail_evaluations
exchange-random,random,0,100,9001,query,18,,30.791,,1048592,1048584,168,8,8,0.0454545,1048592,1,8
exchange-random,random,0,100,9001,query,19,,26.959,,1048592,1048584,168,8,8,0.0454545,1048592,1,8
exchange-random,random,0,100,9001,query,20,,25.583,,1048592,1048584,168,8,8,0.0454545,1048592,1,8
exchange-random,random,0,100,9001,query,21,,22.5,,1048592,1048584,168,8,8,0.0454545,1048592,1,8
exchange-random,random,0,100,9001,query,22,,12296.4,,1048596,1048592,176,4,9,0.0222222,1048596,1,4
exchange-random,random,0,100,9001,query,23,,25.625,,1048596,1048592,176,4,9,0.0222222,1048596,1,4
exchange-random,random,0,100,9001,query,24,,33.333,,1048596,1048592,176,4,9,0.0222222,1048596,1,4
exchange-random,random,0,100,9001,query,25,,37.875,,1048596,1048592,176,4,9,0.0222222,1048596,1,4
exchange-random,random,0,100,9001,query,26,,39.958,,1048596,1048592,176,8,9,0.0434783,1048596,1,4
exchange-random,random,0,100,9001,query,27,,73.958,,1048600,1048592,176,8,9,0.0434783,1048600,1,8
exchange-random,random,0,100,9001,query,28,,39.208,,1048600,1048592,176,8,9,0.0434783,1048600,1,8
exchange-random,random,0,100,9001,query,29,,33.208,,1048600,1048592,176,8,9,0.0434783,1048600,1,8
exchange-random,random,0,100,9001,query,30,,34.792,,1048600,1048592,176,9,9,0.0486486,1048600,1,8
exchange-random,random,0,100,9001,query,31,,51.917,,1048601,1048592,176,9,9,0.0486486,1048601,1,9
exchange-random,random,0,100,9001,fence,0,stable,6094.17,,,,,,,,,,
strict-random,random,0,100,9001,write,0,weak,1362.5,1048577,1048577,160,160,1,2,0.1,,,
strict-random,random,0,100,9001,write,1,weak,3334.33,1048578,1048578,160,160,2,2,0.2,,,
strict-random,random,0,100,9001,write,2,weak,10272.8,1048579,1048579,1048578,162,1,2,0.1,,,
