case,workload,repetition,writers,writes_per_s,weak_p50_us,weak_p95_us,weak_p99_us,stable_p50_us,stable_p95_us,stable_p99_us,fence_us,query_p50_us,query_p95_us,query_p99_us,mean_D,mean_W,max_W,max_cap,max_risk,timed_sync_successes,total_sync_attempts,total_sync_successes,total_sync_failures,timed_syncs_per_s,total_records_per_sync,policy_fences,age_fences,overshoots,enrichment,alarm,alarm_latency_ms,M_max,L_max,delta_max,amplification_max,stable_losses,weak_survivors,frontier_ok,recovery_ok,strict_ok
stable-group,random,7,4,300.655,0,0,0,11797,12837.2,12840.9,1176.79,38.854,9879.3,11190.7,174.44,0,0,0,0.4,7,7,7,0,84.1833,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
fixed-time,random,7,4,305.717,12087.8,18432.8,19979.3,0,0,0,1145.92,46.9995,78.852,120.074,170.92,2.08,4,1638,0.0243902,7,8,8,0,85.6008,3.125,0,8,0,1,0,-1,0,0,0,0,0,0,1,1,1
strict-hot,hot,7,4,216.614,16845.7,26086.3,26704.9,0,0,0,6736.33,45.1875,6526.65,18604.6,171.52,1.48,2,2,0.2,12,13,13,0,103.975,1.92308,12,0,0,3.45131,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-random,random,7,4,505.487,6005.58,11552.1,11716.3,0,0,0,6209.83,36.7085,7446.86,10471.5,168.32,4.68,9,9,0.0486486,2,3,3,0,40.439,8.33333,2,0,0,0.844159,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-hot-guard,hot,7,4,117.743,3666.4,5496.58,5659.28,36685.8,45948.1,45950.3,1191.12,41.2085,32667.9,41984.3,173.8,0.4,4,9,0.0243902,22,22,22,0,103.614,1.13636,16,0,0,2.53086,1,5.812,0,0,0,0,0,0,1,1,1
strict-random,random,8,4,164.946,18812.2,37332.1,37956.4,0,0,0,5961.38,41.479,24023.8,33841.1,171.52,1.48,2,2,0.2,12,13,13,0,79.1742,1.92308,12,0,0,1.26027,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
fixed-time,random,8,4,212.886,19097.2,29942.6,30481.6,0,0,0,1141.29,53.229,103.115,170.484,170.92,2.08,4,1638,0.0243902,7,8,8,0,59.6079,3.125,0,8,0,1,0,-1,0,0,0,0,0,0,1,1,1
exchange-random,random,8,4,472.347,7794.83,12645.2,12769.5,0,0,0,7823.17,13.396,4019.07,4930.81,168.32,4.68,9,9,0.0486486,2,3,3,0,37.7878,8.33333,2,0,0,1.08312,0,-1,0.2,0.2,0.2,0,0,0,1,1,1
fixed-count,random,8,4,361.457,10828.6,12759.4,12888.4,0,0,0,6137.83,27.9165,7016.02,10835.4,170.56,2.44,4,4,0.0243902,6,7,7,0,86.7497,3.57143,6,0,0,1.10889,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
strict-hot,hot,8,4,237.864,16482.1,19394.8,19506.3,0,0,0,6518.79,37.2495,16525,17584.8,171.52,1.48,2,2,0.2,12,13,13,0,114.175,1.92308,12,0,0,3.60934,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-hot-guard,hot,8,4,137.348,4063.58,6029.5,6208.83,33954.1,39318.8,40678.4,1159,42.8755,28395.8,34388.9,173.8,0.4,4,9,0.0243902,22,22,22,0,120.866,1.13636,16,0,0,2.53086,1,6.564,0,0,0,0,0,0,1,1,1
stable-group,random,8,4,295.922,0,0,0,12602.3,14018.3,14024,1161.17,52.0205,11661.2,12641.3,174.44,0,0,0,0.4,7,7,7,0,82.8582,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
exchange-hot,hot,8,4,440.458,7217.54,15407.1,16059.8,0,0,0,7368.12,35.8125,5908.17,12600,168.32,4.68,9,9,0.0486486,2,3,3,0,35.2367,8.33333,2,0,0,4.24461,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
exchange-hot,hot,9,4,514.608,5958.38,11314.8,11372.2,0,0,0,8256.96,32,4912.26,7827.9,168.32,4.68,9,9,0.0486486,2,3,3,0,41.1687,8.33333,2,0,0,4.24678,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
