case,workload,repetition,hnsw_seed,tail_seed,writers,writes_per_s,weak_p50_us,weak_p95_us,weak_p99_us,stable_p50_us,stable_p95_us,stable_p99_us,fence_us,query_p50_us,query_p95_us,query_p99_us,mean_D,mean_W,max_W,max_cap,max_risk,timed_sync_successes,total_sync_attempts,total_sync_successes,total_sync_failures,timed_syncs_per_s,total_records_per_sync,policy_fences,age_fences,overshoots,enrichment,alarm,alarm_latency_ms,crash_frontier,crash_visible_lsn,crash_durable_lsn,crash_child_status,exposed_weak_records,surviving_weak_records,lost_weak_records,has_L_lt_M,M_max,L_max,delta_max,amplification_max,stable_losses,weak_survivors,stable_records_unchanged,cohort_records_unchanged,cohort_expectations_ok,post_recovery_suffix_ok,frontier_ok,recovery_ok,strict_ok
fixed-count,random,5,100,9006,4,336.053,11313,15592.1,15832.9,0,0,0,6259.17,12.7715,9687.48,10227.3,170.56,2.44,4,4,0.0243902,6,7,7,0,80.6528,3.57143,6,0,0,1.16373,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
fixed-time,random,5,117,9006,4,385.533,9820.25,14393.4,14485.6,0,0,0,1143.08,10.7705,23.4501,33.0818,170.92,2.08,4,1638,0.0243902,7,8,8,0,107.949,3.125,0,8,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
exchange-hot,hot,6,100,45007,4,511.011,5932.29,11509.2,11533.3,0,0,0,6460.12,12.4585,2057.5,8697.93,168.32,4.68,9,9,0.0486486,2,3,3,0,40.8809,8.33333,2,0,0,4.23326,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1,1,1,1,1
strict-random,random,6,117,9007,4,251.936,15108.1,19517.5,19830.9,0,0,0,7749.54,11.042,11287.4,14654.9,171.52,1.48,2,2,0.2,12,13,13,0,120.929,1.92308,12,0,0,0.495697,0,-1,strict-cap-before-fence,2097154,1048601,87,2,0,2,0,0.2,0.2,0.2,0,0,0,1,1,1,1,1,1,1
fixed-count,random,6,117,9007,4,183.537,15569.3,50286.8,53823.6,0,0,0,6589.25,12.917,19001.6,43663.6,170.56,2.44,4,4,0.0243902,6,7,7,0,44.0488,3.57143,6,0,0,0.775822,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
exchange-hot-guard,hot,6,117,45007,4,156.983,3525.56,5174.98,5313.8,27879.8,37869,39179.1,1142.58,10.8755,28498,33282.4,173.8,0.4,4,9,0.0243902,22,22,22,0,138.145,1.13636,16,0,0,2.84158,1,5.38,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-hot,hot,6,100,45007,4,242.073,16375.2,19042.4,19613.3,0,0,0,6673.96,11.0205,14558.5,17697.9,171.52,1.48,2,2,0.2,12,13,13,0,116.195,1.92308,12,0,0,3.47487,0,-1,fence-after-sync-before-publish,2097154,1048601,86,2,2,0,1,0.2,0,0,0,0,0,1,1,1,1,1,1,1
fixed-time,random,6,100,9007,4,373.209,9921.21,16166.8,16995.2,0,0,0,1140.17,11.4165,24.1606,49558.5,170.92,2.08,4,1638,0.0243902,7,8,8,0,104.498,3.125,0,8,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
exchange-random,random,6,117,9007,4,469.027,6572.12,13363,13623.9,0,0,0,5841.88,11,8356.66,12158.5,168.32,4.68,9,9,0.0486486,2,3,3,0,37.5221,8.33333,2,0,0,1.16584,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1,1,1,1,1
stable-group,random,6,100,9007,4,315.801,0,0,0,10842,12805.4,12823.4,1145.79,11.3125,9102.33,9759.67,174.44,0,0,0,0.4,7,7,7,0,88.4242,3.57143,0,0,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
exchange-hot,hot,7,117,45008,4,488.367,6664.33,11808.1,11832.9,0,0,0,5617.79,12.2295,2352.7,6982.68,168.32,4.68,9,9,0.0486486,2,3,3,0,39.0693,8.33333,2,0,0,4.24974,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1,1,1,1,1
fixed-count,random,7,100,9008,4,355.51,11100.5,11940.9,11958.1,0,0,0,7501.71,12.6665,10031.8,10585.2,170.56,2.44,4,4,0.0243902,6,7,7,0,85.3224,3.57143,6,0,0,0.758676,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
strict-random,random,7,100,9008,4,251.94,15687.2,18659.3,19044.1,0,0,0,8689.54,11.167,14684.5,16349.6,171.52,1.48,2,2,0.2,12,13,13,0,120.931,1.92308,12,0,0,0.494738,0,-1,strict-cap-before-fence,2097154,1048601,87,2,0,2,0,0.2,0.2,0.2,0,0,0,1,1,1,1,1,1,1
stable-group,random,7,117,9008,4,267.593,0,0,0,12914.5,17779,17805.1,1144.25,13.271,12455.6,15658.2,174.44,0,0,0,0.4,7,7,7,0,74.9261,3.57143,0,0,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
fixed-time,random,7,117,9008,4,320.302,11581.2,17767.8,20510.8,0,0,0,1144.46,11.125,29.8916,10201.4,170.92,2.08,4,1638,0.0243902,7,8,8,0,89.6845,3.125,0,8,0,1.69543,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-hot,hot,7,117,45008,4,244.416,16423.4,17851.7,18054.1,0,0,0,7741.96,10.9165,15580.4,16104.2,171.52,1.48,2,2,0.2,12,13,13,0,117.32,1.92308,12,0,0,3.86953,0,-1,fence-after-sync-before-publish,2097154,1048601,86,2,2,0,1,0.2,0,0,0,0,0,1,1,1,1,1,1,1
exchange-random,random,7,100,9008,4,487.111,6644.04,12658.6,12742.1,0,0,0,8275.54,12.3535,7921.86,10792.6,168.32,4.68,9,9,0.0486486,2,3,3,0,38.9689,8.33333,2,0,0,1.02234,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
exchange-hot-guard,hot,7,100,45008,4,163.152,3363.44,4872.24,5002.55,27734.8,35083.7,36232,1149.29,8.896,24538.7,29923.6,173.8,0.4,4,9,0.0243902,22,22,22,0,143.574,1.13636,16,0,0,2.84158,1,5.072,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-random,random,8,117,9009,4,237.542,16770,19039.8,19487.5,0,0,0,6726.38,10.9165,12267,16404.3,171.52,1.48,2,2,0.2,12,13,13,0,114.02,1.92308,12,0,0,1.73966,0,-1,strict-cap-before-fence,2097154,1048601,87,2,0,2,0,0.2,0.2,0.2,0,0,0,1,1,1,1,1,1,1
fixed-time,random,8,100,9009,4,354.866,10623.2,16784.7,17403,0,0,0,1141.46,9.3755,20.0962,32.9067,170.92,2.08,4,1638,0.0243902,7,8,8,0,99.3625,3.125,0,8,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
exchange-random,random,8,117,9009,4,503.043,5838.75,13520.1,13762.8,0,0,0,6314.96,11.25,7188.61,9958.02,168.32,4.68,9,9,0.0486486,2,3,3,0,40.2435,8.33333,2,0,0,1.25199,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.2,0.2,0.2,0,0,0,1,1,1,1,1,1,1
fixed-count,random,8,117,9009,4,345.174,11487.8,14017.9,14192.8,0,0,0,7575.83,11.542,7226.23,12368.2,170.56,2.44,4,4,0.0243902,6,7,7,0,82.8418,3.57143,6,0,0,1.16912,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
strict-hot,hot,8,100,45009,4,251.832,15263.2,17708,18318,0,0,0,6602.38,11.0835,14074.8,15360.4,171.52,1.48,2,2,0.2,12,13,13,0,120.879,1.92308,12,0,0,3.47913,0,-1,fence-after-sync-before-publish,2097154,1048601,86,2,2,0,1,0.2,0,0,0,0,0,1,1,1,1,1,1,1
