case,workload,repetition,hnsw_seed,tail_seed,requested_ack,writers,writes,queries,k_min,epsilon,comparison_epsilon,configured_cap,group_delay_us,index,actual_ack,latency_us,lsn,visible_lsn,durable_lsn,durable_records,weak_records,receipt_cap,risk
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,16,weak,22730.707999999999,1048593,1048593,1048592,176,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,17,weak,25283.625,1048594,1048594,1048592,176,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,18,weak,26811.332999999999,1048595,1048595,1048594,178,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,19,weak,26767.75,1048596,1048596,1048594,178,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,20,weak,26893.957999999999,1048597,1048597,1048596,180,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,21,weak,26882.917000000001,1048598,1048598,1048596,180,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,22,weak,28925.791000000001,1048599,1048599,1048598,182,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,23,weak,30997.707999999999,1048600,1048600,1048598,182,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,24,weak,37098.209000000003,1048601,1048601,1048600,184,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,25,weak,35013.25,1048602,1048602,1048600,184,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,26,weak,33280.959000000003,1048603,1048603,1048602,186,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,27,weak,31293.833999999999,1048604,1048604,1048602,186,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,28,weak,25659.208999999999,1048605,1048605,1048604,188,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,29,weak,26008.166000000001,1048606,1048606,1048604,188,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,30,weak,27727.207999999999,1048607,1048607,1048606,190,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,31,weak,28082,1048608,1048608,1048606,190,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,32,weak,32394.458999999999,1048609,1048609,1048608,192,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,33,weak,34535.334000000003,1048610,1048610,1048608,192,2,2,0.20000000000000001
