case,workload,repetition,hnsw_seed,tail_seed,writers,writes_per_s,weak_p50_us,weak_p95_us,weak_p99_us,stable_p50_us,stable_p95_us,stable_p99_us,fence_us,query_p50_us,query_p95_us,query_p99_us,mean_D,mean_W,max_W,max_cap,max_risk,timed_sync_successes,total_sync_attempts,total_sync_successes,total_sync_failures,timed_syncs_per_s,total_records_per_sync,policy_fences,age_fences,overshoots,enrichment,alarm,alarm_latency_ms,crash_frontier,crash_visible_lsn,crash_durable_lsn,crash_child_status,exposed_weak_records,surviving_weak_records,lost_weak_records,has_L_lt_M,M_max,L_max,delta_max,amplification_max,stable_losses,weak_survivors,stable_records_unchanged,cohort_records_unchanged,cohort_expectations_ok,post_recovery_suffix_ok,frontier_ok,recovery_ok,strict_ok
stable-group,random,6,100,9007,4,189.488,0,0,0,18778.8,21968,21988.2,1272.96,59.187,17790.8,19900.2,174.44,0,0,0,0.4,7,7,7,0,53.0567,3.57143,0,0,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
exchange-hot,hot,7,117,45008,4,265.12,12609.7,24320.3,24524,0,0,0,7272.67,69.7505,15388.8,22061.5,168.32,4.68,9,9,0.0486486,2,3,3,0,21.2096,8.33333,2,0,0,4.27456,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1,1,1,1,1
fixed-count,random,7,100,9008,4,228.282,17104.6,20314.1,20525.8,0,0,0,8265.88,60.5835,16886.6,19099.3,170.56,2.44,4,4,0.0243902,6,7,7,0,54.7878,3.57143,6,0,0,1.47281,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
strict-random,random,7,100,9008,4,145.628,27090.9,34520.7,35352.8,0,0,0,7925.75,66.6455,27595.9,33024.3,171.52,1.48,2,2,0.2,12,13,13,0,69.9016,1.92308,12,0,0,1.31192,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
stable-group,random,7,117,9008,4,199.663,0,0,0,18832.7,19748,19764.9,1181.29,52.0205,17809,17942.9,174.44,0,0,0,0.4,7,7,7,0,55.9056,3.57143,0,0,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
fixed-time,random,7,117,9008,4,184.406,21871.4,29594.5,32066.5,0,0,0,1062.17,62.4995,116.854,17726.7,170.92,2.08,4,1638,0.0243902,7,8,8,0,51.6337,3.125,0,8,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-hot,hot,7,117,45008,4,154.246,24493.9,36259.2,36772.7,0,0,0,6404.46,52.5415,7484.03,21426.7,171.52,1.48,2,2,0.2,12,13,13,0,74.0383,1.92308,12,0,0,3.51774,0,-1,fence-after-sync-before-publish,2097154,1048601,86,2,2,0,1,0.2,0,0,0,0,0,1,1,1,1,1,1,1
exchange-random,random,7,100,9008,4,302.074,11090.7,17390.3,20014.8,0,0,0,7690.88,69.8955,12370.1,19101.9,168.32,4.68,9,9,0.0486486,2,3,3,0,24.1659,8.33333,2,0,0,1.14554,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
exchange-hot-guard,hot,7,100,45008,4,92.2761,5684.6,8992.93,9293.75,48751.2,55207.2,55212.1,1193.71,59.5835,20570.1,51552.6,173.8,0.4,4,9,0.0243902,22,22,22,0,81.2029,1.13636,16,0,0,2.53086,1,9.709,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-random,random,8,117,9009,4,148.024,24823.8,34580.4,36516.7,0,0,0,7576.46,49.9995,23965.2,30862.2,171.52,1.48,2,2,0.2,12,13,13,0,71.0514,1.92308,12,0,0,1.76783,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
