case,workload,repetition,hnsw_seed,tail_seed,operation,index,ack,latency_us,lsn,visible_lsn,durable_lsn,durable_records,weak_records,cap,risk,snapshot_lsn,exact_recall,tail_evaluations,crash_frontier,expected_recovery,crash_child_status
exchange-random,random,0,117,9001,write,23,weak,7217.92,1048600,1048600,1048592,176,8,9,0.0434783,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,24,weak,9242.08,1048601,1048601,1048592,176,9,9,0.0486486,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,0,,70.792,,160,160,160,0,8,0,160,1,0,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,1,,32.667,,160,160,160,0,8,0,160,1,0,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,2,,73.167,,160,160,160,0,8,0,160,1,0,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,3,,35.584,,160,160,160,0,8,0,160,1,0,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,4,,33.292,,160,160,160,0,8,0,160,1,0,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,5,,4184.62,,1048580,160,160,4,8,0.0243902,1048580,1,4,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,6,,38.083,,1048580,160,160,4,8,0.0243902,1048580,1,4,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,7,,32.458,,1048580,160,160,4,8,0.0243902,1048580,1,4,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,8,,43.666,,1048580,160,160,4,8,0.0243902,1048580,1,4,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,9,,38.583,,1048580,160,160,8,8,0.047619,1048580,1,4,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,10,,58.333,,1048584,160,160,8,8,0.047619,1048584,1,8,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,11,,47.458,,1048584,160,160,8,8,0.047619,1048584,1,8,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,12,,37,,1048584,160,160,8,8,0.047619,1048584,1,8,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,13,,33,,1048584,160,160,8,8,0.047619,1048584,1,8,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,14,,13593.6,,1048588,1048584,168,4,8,0.0232558,1048588,1,4,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,15,,72.583,,1048588,1048584,168,4,8,0.0232558,1048588,1,4,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,16,,65.333,,1048588,1048584,168,4,8,0.0232558,1048588,1,4,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,17,,52.041,,1048588,1048584,168,4,8,0.0232558,1048588,1,4,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,18,,55.25,,1048588,1048584,168,8,8,0.0454545,1048588,1,4,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,19,,54.25,,1048592,1048584,168,8,8,0.0454545,1048592,1,8,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,20,,37.292,,1048592,1048584,168,8,8,0.0454545,1048592,1,8,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,21,,35.25,,1048592,1048584,168,8,8,0.0454545,1048592,1,8,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,22,,35.959,,1048592,1048584,176,4,9,0.0222222,1048592,1,8,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,23,,78.167,,1048596,1048592,176,4,9,0.0222222,1048596,1,4,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,24,,64.458,,1048596,1048592,176,4,9,0.0222222,1048596,1,4,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,25,,60.583,,1048596,1048592,176,4,9,0.0222222,1048596,1,4,terminal-unfenced-suffix,,-1
